Variable,Breakdown,Breakdown_category,Year,RD_Value,Status,Unit,Footnotes,Relative_Sampling_Error
_01_Total_RD_Expenditure,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2018,119,,NZ Dollars (millions),12,36
_01_Total_RD_Expenditure,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2019,100,,NZ Dollars (millions),12,19
_01_Total_RD_Expenditure,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2020,82,,NZ Dollars (millions),12,17.2
_01_Total_RD_Expenditure,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2021,69,,NZ Dollars (millions),12,11.8
_01_Total_RD_Expenditure,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2022,56,,NZ Dollars (millions),12,11.4
_01_Total_RD_Expenditure,Published_Industry,06_Non-metallic mineral product manufacturing,2016,3,,NZ Dollars (millions),3 and 12,27.9
_01_Total_RD_Expenditure,Published_Industry,06_Non-metallic mineral product manufacturing,2018,3,,NZ Dollars (millions),3 and 12,52.2
_01_Total_RD_Expenditure,Published_Industry,06_Non-metallic mineral product manufacturing,2019,3,,NZ Dollars (millions),3 and 12,93.8
_01_Total_RD_Expenditure,Published_Industry,06_Non-metallic mineral product manufacturing,2020,2,,NZ Dollars (millions),3 and 12,121.6
_01_Total_RD_Expenditure,Published_Industry,06_Non-metallic mineral product manufacturing,2021,6,,NZ Dollars (millions),3 and 12,17.3
_01_Total_RD_Expenditure,Published_Industry,06_Non-metallic mineral product manufacturing,2022,5,,NZ Dollars (millions),3 and 12,33.7
_01_Total_RD_Expenditure,Published_Industry,07_Metal product manufacturing,2016,67,,NZ Dollars (millions),12,27.9
_01_Total_RD_Expenditure,Published_Industry,07_Metal product manufacturing,2018,71,,NZ Dollars (millions),12,10.4
_01_Total_RD_Expenditure,Published_Industry,07_Metal product manufacturing,2019,82,,NZ Dollars (millions),12,9
_01_Total_RD_Expenditure,Published_Industry,07_Metal product manufacturing,2020,93,,NZ Dollars (millions),12,10
_01_Total_RD_Expenditure,Published_Industry,07_Metal product manufacturing,2021,72,,NZ Dollars (millions),12,19.3
_01_Total_RD_Expenditure,Published_Industry,07_Metal product manufacturing,2022,69,,NZ Dollars (millions),12,16.8
_01_Total_RD_Expenditure,Published_Industry,08_Machinery and equipment manufacturing,2016,392,,NZ Dollars (millions),12,11
_01_Total_RD_Expenditure,Published_Industry,08_Machinery and equipment manufacturing,2018,372,,NZ Dollars (millions),12,13.1
_01_Total_RD_Expenditure,Published_Industry,08_Machinery and equipment manufacturing,2019,450,,NZ Dollars (millions),12,12.6
_01_Total_RD_Expenditure,Published_Industry,08_Machinery and equipment manufacturing,2020,497,,NZ Dollars (millions),12,11.7
_01_Total_RD_Expenditure,Published_Industry,08_Machinery and equipment manufacturing,2021,461,,NZ Dollars (millions),12,10
_01_Total_RD_Expenditure,Published_Industry,08_Machinery and equipment manufacturing,2022,527,,NZ Dollars (millions),12,10.2
_01_Total_RD_Expenditure,Published_Industry,09_Other manufacturing,2016,10,,NZ Dollars (millions),3 and 12,21.5
_01_Total_RD_Expenditure,Published_Industry,09_Other manufacturing,2018,17,,NZ Dollars (millions),12,33.6
_01_Total_RD_Expenditure,Published_Industry,09_Other manufacturing,2019,28,,NZ Dollars (millions),12,32.5
_01_Total_RD_Expenditure,Published_Industry,09_Other manufacturing,2020,18,,NZ Dollars (millions),12,21.3
_01_Total_RD_Expenditure,Published_Industry,09_Other manufacturing,2021,21,,NZ Dollars (millions),12,33.1
_01_Total_RD_Expenditure,Published_Industry,09_Other manufacturing,2022,30,,NZ Dollars (millions),12,37.9
_01_Total_RD_Expenditure,Published_Industry,10_Wholesale trade,2016,111,,NZ Dollars (millions),12,17.3
_01_Total_RD_Expenditure,Published_Industry,10_Wholesale trade,2018,233,,NZ Dollars (millions),12,40.3
_01_Total_RD_Expenditure,Published_Industry,10_Wholesale trade,2019,180,,NZ Dollars (millions),12,16.8
_01_Total_RD_Expenditure,Published_Industry,10_Wholesale trade,2020,174,,NZ Dollars (millions),12,21
_01_Total_RD_Expenditure,Published_Industry,10_Wholesale trade,2021,185,,NZ Dollars (millions),12,17.1
_01_Total_RD_Expenditure,Published_Industry,10_Wholesale trade,2022,193,,NZ Dollars (millions),12,11.1
_01_Total_RD_Expenditure,Published_Industry,11_Scientific research and technical services,2016,75,,NZ Dollars (millions),12,18.8
_01_Total_RD_Expenditure,Published_Industry,11_Scientific research and technical services,2018,118,,NZ Dollars (millions),12,48.2
_01_Total_RD_Expenditure,Published_Industry,11_Scientific research and technical services,2019,102,,NZ Dollars (millions),12,29.3
_01_Total_RD_Expenditure,Published_Industry,11_Scientific research and technical services,2020,181,,NZ Dollars (millions),12,36.7
_01_Total_RD_Expenditure,Published_Industry,11_Scientific research and technical services,2021,202,,NZ Dollars (millions),12,20.8
_01_Total_RD_Expenditure,Published_Industry,11_Scientific research and technical services,2022,321,,NZ Dollars (millions),12,11.7
_01_Total_RD_Expenditure,Published_Industry,12_Computer services,2016,436,,NZ Dollars (millions),12,12.5
_01_Total_RD_Expenditure,Published_Industry,12_Computer services,2018,582,,NZ Dollars (millions),12,16.2
_01_Total_RD_Expenditure,Published_Industry,12_Computer services,2019,748,,NZ Dollars (millions),12,11.5
_01_Total_RD_Expenditure,Published_Industry,12_Computer services,2020,924,,NZ Dollars (millions),12,12
_01_Total_RD_Expenditure,Published_Industry,12_Computer services,2021,968,,NZ Dollars (millions),12,10.3
